id,x,y,valid
3701,676.5,344.5,1
3701,565.5,299.5,1
3701,624.5,298.5,1
3701,600.5,344.5,1
3701,711.5,299.5,1
3701,652.5,298.5,1
3850,676.5,344.5,1
3850,565.5,299.5,1
3850,624.5,298.5,1
3850,600.5,344.5,1
3850,711.5,299.5,1
3850,652.5,298.5,1
3902,676.5,344.5,1
3902,565.5,299.5,1
3902,624.5,298.5,1
3902,600.5,344.5,1
3902,711.5,299.5,1
3902,652.5,298.5,1
3940,676.5,344.5,1
3940,565.5,299.5,1
3940,624.5,298.5,1
3940,600.5,344.5,1
3940,711.5,299.5,1
3940,652.5,298.5,1
3991,676.5,344.5,1
3991,565.5,299.5,1
3991,624.5,298.5,1
3991,600.5,344.5,1
3991,711.5,299.5,1
3991,652.5,298.5,1
4023,676.5,344.5,1
4023,565.5,299.5,1
4023,624.5,298.5,1
4023,600.5,344.5,1
4023,711.5,299.5,1
4023,652.5,298.5,1
4070,676.5,344.5,1
4070,565.5,299.5,1
4070,624.5,298.5,1
4070,600.5,344.5,1
4070,711.5,299.5,1
4070,652.5,298.5,1
4113,676.5,344.5,1
4113,565.5,299.5,1
4113,624.5,298.5,1
4113,600.5,344.5,1
4113,711.5,299.5,1
4113,652.5,298.5,1
4158,676.5,344.5,1
4158,565.5,299.5,1
4158,624.5,298.5,1
4158,600.5,344.5,1
4158,711.5,299.5,1
4158,652.5,298.5,1
4204,676.5,344.5,1
4204,565.5,299.5,1
4204,624.5,298.5,1
4204,600.5,344.5,1
4204,711.5,299.5,1
4204,652.5,298.5,1
4247,676.5,344.5,1
4247,565.5,299.5,1
4247,624.5,298.5,1
4247,600.5,344.5,1
4247,711.5,299.5,1
4247,652.5,298.5,1
4292,676.5,344.5,1
4292,565.5,299.5,1
4292,624.5,298.5,1
4292,600.5,344.5,1
4292,711.5,299.5,1
4292,652.5,298.5,1
4339,676.5,344.5,1
4339,565.5,299.5,1
4339,624.5,298.5,1
4339,600.5,344.5,1
4339,711.5,299.5,1
4339,652.5,298.5,1
4385,676.5,344.5,1
4385,565.5,299.5,1
4385,624.5,298.5,1
4385,600.5,344.5,1
4385,711.5,299.5,1
4385,652.5,298.5,1
4426,676.5,344.5,1
4426,565.5,299.5,1
4426,624.5,298.5,1
4426,600.5,344.5,1
4426,711.5,299.5,1
4426,652.5,298.5,1
4474,676.5,344.5,1
4474,565.5,299.5,1
4474,624.5,298.5,1
4474,600.5,344.5,1
4474,711.5,299.5,1
4474,652.5,298.5,1
4521,676.5,344.5,1
4521,565.5,299.5,1
4521,624.5,298.5,1
4521,600.5,344.5,1
4521,711.5,299.5,1
4521,652.5,298.5,1
4553,676.5,344.5,1
4553,565.5,299.5,1
4553,624.5,298.5,1
4553,600.5,344.5,1
4553,711.5,299.5,1
4553,652.5,298.5,1
4594,676.5,344.5,1
4594,565.5,299.5,1
4594,624.5,298.5,1
4594,600.5,344.5,1
4594,711.5,299.5,1
4594,652.5,298.5,1
4626,676.5,344.5,1
4626,565.5,299.5,1
4626,624.5,298.5,1
4626,600.5,344.5,1
4626,711.5,299.5,1
4626,652.5,298.5,1
4673,676.5,344.5,1
4673,565.5,299.5,1
4673,624.5,298.5,1
4673,600.5,344.5,1
4673,711.5,299.5,1
4673,652.5,298.5,1
4718,676.5,344.5,1
4718,565.5,299.5,1
4718,624.5,298.5,1
4718,600.5,344.5,1
4718,711.5,299.5,1
4718,652.5,298.5,1
4755,676.5,344.5,1
4755,565.5,299.5,1
4755,624.5,298.5,1
4755,600.5,344.5,1
4755,711.5,299.5,1
4755,652.5,298.5,1
4803,676.5,344.5,1
4803,565.5,299.5,1
4803,624.5,298.5,1
4803,600.5,344.5,1
4803,711.5,299.5,1
4803,652.5,298.5,1
4846,676.5,344.5,1
4846,565.5,299.5,1
4846,624.5,298.5,1
4846,600.5,344.5,1
4846,711.5,299.5,1
4846,652.5,298.5,1
4891,676.5,344.5,1
4891,565.5,299.5,1
4891,624.5,298.5,1
4891,600.5,344.5,1
4891,711.5,299.5,1
4891,652.5,298.5,1
4939,676.5,344.5,1
4939,565.5,299.5,1
4939,624.5,298.5,1
4939,600.5,344.5,1
4939,711.5,299.5,1
4939,652.5,298.5,1
4987,676.5,344.5,1
4987,565.5,299.5,1
4987,624.5,298.5,1
4987,600.5,344.5,1
4987,711.5,299.5,1
4987,652.5,298.5,1
5030,676.5,344.5,1
5030,565.5,299.5,1
5030,624.5,298.5,1
5030,600.5,344.5,1
5030,711.5,299.5,1
5030,652.5,298.5,1
5075,676.5,344.5,1
5075,565.5,299.5,1
5075,624.5,298.5,1
5075,600.5,344.5,1
5075,711.5,299.5,1
5075,652.5,298.5,1
5117,676.5,344.5,1
5117,565.5,299.5,1
5117,624.5,298.5,1
5117,600.5,344.5,1
5117,711.5,299.5,1
5117,652.5,298.5,1
5149,676.5,344.5,1
5149,565.5,299.5,1
5149,624.5,298.5,1
5149,600.5,344.5,1
5149,711.5,299.5,1
5149,652.5,298.5,1
5196,676.5,344.5,1
5196,565.5,299.5,1
5196,624.5,298.5,1
5196,600.5,344.5,1
5196,711.5,299.5,1
5196,652.5,298.5,1
5245,676.5,344.5,1
5245,565.5,299.5,1
5245,624.5,298.5,1
5245,600.5,344.5,1
5245,711.5,299.5,1
5245,652.5,298.5,1
5277,676.5,344.5,1
5277,565.5,299.5,1
5277,624.5,298.5,1
5277,600.5,344.5,1
5277,711.5,299.5,1
5277,652.5,298.5,1
5323,676.5,344.5,1
5323,565.5,299.5,1
5323,624.5,298.5,1
5323,600.5,344.5,1
5323,711.5,299.5,1
5323,652.5,298.5,1
5367,676.5,344.5,1
5367,565.5,299.5,1
5367,624.5,298.5,1
5367,600.5,344.5,1
5367,711.5,299.5,1
5367,652.5,298.5,1
5408,676.5,344.5,1
5408,565.5,299.5,1
5408,624.5,298.5,1
5408,600.5,344.5,1
5408,711.5,299.5,1
5408,652.5,298.5,1
5454,676.5,344.5,1
5454,565.5,299.5,1
5454,624.5,298.5,1
5454,600.5,344.5,1
5454,711.5,299.5,1
5454,652.5,298.5,1
5486,676.5,344.5,1
5486,565.5,299.5,1
5486,624.5,298.5,1
5486,600.5,344.5,1
5486,711.5,299.5,1
5486,652.5,298.5,1
5532,676.5,344.5,1
5532,565.5,299.5,1
5532,624.5,298.5,1
5532,600.5,344.5,1
5532,711.5,299.5,1
5532,652.5,298.5,1
5574,676.5,344.5,1
5574,565.5,299.5,1
5574,624.5,298.5,1
5574,600.5,344.5,1
5574,711.5,299.5,1
5574,652.5,298.5,1
5604,676.5,344.5,1
5604,565.5,299.5,1
5604,624.5,298.5,1
5604,600.5,344.5,1
5604,711.5,299.5,1
5604,652.5,298.5,1
5635,676.5,344.5,1
5635,565.5,299.5,1
5635,624.5,298.5,1
5635,600.5,344.5,1
5635,711.5,299.5,1
5635,652.5,298.5,1
5679,676.5,344.5,1
5679,565.5,299.5,1
5679,624.5,298.5,1
5679,600.5,344.5,1
5679,711.5,299.5,1
5679,652.5,298.5,1
5724,676.5,344.5,1
5724,565.5,299.5,1
5724,624.5,298.5,1
5724,600.5,344.5,1
5724,711.5,299.5,1
5724,652.5,298.5,1
5770,676.5,344.5,1
5770,565.5,299.5,1
5770,624.5,298.5,1
5770,600.5,344.5,1
5770,711.5,299.5,1
5770,652.5,298.5,1
5804,676.5,344.5,1
5804,565.5,299.5,1
5804,624.5,298.5,1
5804,600.5,344.5,1
5804,711.5,299.5,1
5804,652.5,298.5,1
5845,676.5,344.5,1
5845,565.5,299.5,1
5845,624.5,298.5,1
5845,600.5,344.5,1
5845,711.5,299.5,1
5845,652.5,298.5,1
5876,676.5,344.5,1
5876,565.5,299.5,1
5876,624.5,298.5,1
5876,600.5,344.5,1
5876,711.5,299.5,1
5876,652.5,298.5,1
5922,676.5,344.5,1
5922,565.5,299.5,1
5922,624.5,298.5,1
5922,600.5,344.5,1
5922,711.5,299.5,1
5922,652.5,298.5,1
5967,676.5,344.5,1
5967,565.5,299.5,1
5967,624.5,298.5,1
5967,600.5,344.5,1
5967,711.5,299.5,1
5967,652.5,298.5,1
6013,676.5,344.5,1
6013,565.5,299.5,1
6013,624.5,298.5,1
6013,600.5,344.5,1
6013,711.5,299.5,1
6013,652.5,298.5,1
6056,676.5,344.5,1
6056,565.5,299.5,1
6056,624.5,298.5,1
6056,600.5,344.5,1
6056,711.5,299.5,1
6056,652.5,298.5,1
6101,676.5,344.5,1
6101,565.5,299.5,1
6101,624.5,298.5,1
6101,600.5,344.5,1
6101,711.5,299.5,1
6101,652.5,298.5,1
6143,676.5,344.5,1
