id,x,y,valid
3703,676.5,344.5,1
3703,565.5,299.5,1
3703,624.5,298.5,1
3703,600.5,344.5,1
3703,711.5,299.5,1
3703,652.5,298.5,1
3831,676.5,344.5,1
3831,565.5,299.5,1
3831,624.5,298.5,1
3831,600.5,344.5,1
3831,711.5,299.5,1
3831,652.5,298.5,1
3875,676.5,344.5,1
3875,565.5,299.5,1
3875,624.5,298.5,1
3875,600.5,344.5,1
3875,711.5,299.5,1
3875,652.5,298.5,1
3917,676.5,344.5,1
3917,565.5,299.5,1
3917,624.5,298.5,1
3917,600.5,344.5,1
3917,711.5,299.5,1
3917,652.5,298.5,1
3952,676.5,344.5,1
3952,565.5,299.5,1
3952,624.5,298.5,1
3952,600.5,344.5,1
3952,711.5,299.5,1
3952,652.5,298.5,1
3995,676.5,344.5,1
3995,565.5,299.5,1
3995,624.5,298.5,1
3995,600.5,344.5,1
3995,711.5,299.5,1
3995,652.5,298.5,1
4035,676.5,344.5,1
4035,565.5,299.5,1
4035,624.5,298.5,1
4035,600.5,344.5,1
4035,711.5,299.5,1
4035,652.5,298.5,1
4081,676.5,344.5,1
4081,565.5,299.5,1
4081,624.5,298.5,1
4081,600.5,344.5,1
4081,711.5,299.5,1
4081,652.5,298.5,1
4113,676.5,344.5,1
4113,565.5,299.5,1
4113,624.5,298.5,1
4113,600.5,344.5,1
4113,711.5,299.5,1
4113,652.5,298.5,1
4161,676.5,344.5,1
4161,565.5,299.5,1
4161,624.5,298.5,1
4161,600.5,344.5,1
4161,711.5,299.5,1
4161,652.5,298.5,1
4207,676.5,344.5,1
4207,565.5,299.5,1
4207,624.5,298.5,1
4207,600.5,344.5,1
4207,711.5,299.5,1
4207,652.5,298.5,1
4247,676.5,344.5,1
4247,565.5,299.5,1
4247,624.5,298.5,1
4247,600.5,344.5,1
4247,711.5,299.5,1
4247,652.5,298.5,1
4281,676.5,344.5,1
4281,565.5,299.5,1
4281,624.5,298.5,1
4281,600.5,344.5,1
4281,711.5,299.5,1
4281,652.5,298.5,1
4326,676.5,344.5,1
4326,565.5,299.5,1
4326,624.5,298.5,1
4326,600.5,344.5,1
4326,711.5,299.5,1
4326,652.5,298.5,1
4378,676.5,344.5,1
4378,565.5,299.5,1
4378,624.5,298.5,1
4378,600.5,344.5,1
4378,711.5,299.5,1
4378,652.5,298.5,1
4422,676.5,344.5,1
4422,565.5,299.5,1
4422,624.5,298.5,1
4422,600.5,344.5,1
4422,711.5,299.5,1
4422,652.5,298.5,1
4464,676.5,344.5,1
4464,565.5,299.5,1
4464,624.5,298.5,1
4464,600.5,344.5,1
4464,711.5,299.5,1
4464,652.5,298.5,1
4510,676.5,344.5,1
4510,565.5,299.5,1
4510,624.5,298.5,1
4510,600.5,344.5,1
4510,711.5,299.5,1
4510,652.5,298.5,1
4550,676.5,344.5,1
4550,565.5,299.5,1
4550,624.5,298.5,1
4550,600.5,344.5,1
4550,711.5,299.5,1
4550,652.5,298.5,1
4587,676.5,344.5,1
4587,565.5,299.5,1
4587,624.5,298.5,1
4587,600.5,344.5,1
4587,711.5,299.5,1
4587,652.5,298.5,1
4631,676.5,344.5,1
4631,565.5,299.5,1
4631,624.5,298.5,1
4631,600.5,344.5,1
4631,711.5,299.5,1
4631,652.5,298.5,1
4669,676.5,344.5,1
4669,565.5,299.5,1
4669,624.5,298.5,1
4669,600.5,344.5,1
4669,711.5,299.5,1
4669,652.5,298.5,1
4711,676.5,344.5,1
4711,565.5,299.5,1
4711,624.5,298.5,1
4711,600.5,344.5,1
4711,711.5,299.5,1
4711,652.5,298.5,1
4760,676.5,344.5,1
4760,565.5,299.5,1
4760,624.5,298.5,1
4760,600.5,344.5,1
4760,711.5,299.5,1
4760,652.5,298.5,1
4806,676.5,344.5,1
4806,565.5,299.5,1
4806,624.5,298.5,1
4806,600.5,344.5,1
4806,711.5,299.5,1
4806,652.5,298.5,1
4852,676.5,344.5,1
4852,565.5,299.5,1
4852,624.5,298.5,1
4852,600.5,344.5,1
4852,711.5,299.5,1
4852,652.5,298.5,1
4896,676.5,344.5,1
4896,565.5,299.5,1
4896,624.5,298.5,1
4896,600.5,344.5,1
4896,711.5,299.5,1
4896,652.5,298.5,1
4933,676.5,344.5,1
4933,565.5,299.5,1
4933,624.5,298.5,1
4933,600.5,344.5,1
4933,711.5,299.5,1
4933,652.5,298.5,1
4965,676.5,344.5,1
4965,565.5,299.5,1
4965,624.5,298.5,1
4965,600.5,344.5,1
4965,711.5,299.5,1
4965,652.5,298.5,1
5013,676.5,344.5,1
5013,565.5,299.5,1
5013,624.5,298.5,1
5013,600.5,344.5,1
5013,711.5,299.5,1
5013,652.5,298.5,1
5056,676.5,344.5,1
5056,565.5,299.5,1
5056,624.5,298.5,1
5056,600.5,344.5,1
5056,711.5,299.5,1
5056,652.5,298.5,1
5104,676.5,344.5,1
5104,565.5,299.5,1
5104,624.5,298.5,1
5104,600.5,344.5,1
5104,711.5,299.5,1
5104,652.5,298.5,1
5154,676.5,344.5,1
5154,565.5,299.5,1
5154,624.5,298.5,1
5154,600.5,344.5,1
5154,711.5,299.5,1
5154,652.5,298.5,1
5198,676.5,344.5,1
5198,565.5,299.5,1
5198,624.5,298.5,1
5198,600.5,344.5,1
5198,711.5,299.5,1
5198,652.5,298.5,1
5243,676.5,344.5,1
5243,565.5,299.5,1
5243,624.5,298.5,1
5243,600.5,344.5,1
5243,711.5,299.5,1
5243,652.5,298.5,1
5595,676.5,344.5,1
5595,565.5,299.5,1
5595,624.5,298.5,1
5595,600.5,344.5,1
5595,711.5,299.5,1
5595,652.5,298.5,1
5638,676.5,344.5,1
5638,565.5,299.5,1
5638,624.5,298.5,1
5638,600.5,344.5,1
5638,711.5,299.5,1
5638,652.5,298.5,1
5674,676.5,344.5,1
5674,565.5,299.5,1
5674,624.5,298.5,1
5674,600.5,344.5,1
5674,711.5,299.5,1
5674,652.5,298.5,1
5719,676.5,344.5,1
5719,565.5,299.5,1
5719,624.5,298.5,1
5719,600.5,344.5,1
5719,711.5,299.5,1
5719,652.5,298.5,1
5758,676.5,344.5,1
5758,565.5,299.5,1
5758,624.5,298.5,1
5758,600.5,344.5,1
5758,711.5,299.5,1
5758,652.5,298.5,1
5790,676.5,344.5,1
5790,565.5,299.5,1
5790,624.5,298.5,1
5790,600.5,344.5,1
5790,711.5,299.5,1
5790,652.5,298.5,1
5830,676.5,344.5,1
5830,565.5,299.5,1
5830,624.5,298.5,1
5830,600.5,344.5,1
5830,711.5,299.5,1
5830,652.5,298.5,1
5861,676.5,344.5,1
5861,565.5,299.5,1
5861,624.5,298.5,1
5861,600.5,344.5,1
5861,711.5,299.5,1
5861,652.5,298.5,1
5907,676.5,344.5,1
5907,565.5,299.5,1
5907,624.5,298.5,1
5907,600.5,344.5,1
5907,711.5,299.5,1
5907,652.5,298.5,1
5952,676.5,344.5,1
5952,565.5,299.5,1
5952,624.5,298.5,1
5952,600.5,344.5,1
5952,711.5,299.5,1
5952,652.5,298.5,1
5995,676.5,344.5,1
5995,565.5,299.5,1
5995,624.5,298.5,1
5995,600.5,344.5,1
5995,711.5,299.5,1
5995,652.5,298.5,1
6038,676.5,344.5,1
6038,565.5,299.5,1
6038,624.5,298.5,1
6038,600.5,344.5,1
6038,711.5,299.5,1
6038,652.5,298.5,1
6073,676.5,344.5,1
6073,565.5,299.5,1
6073,624.5,298.5,1
6073,600.5,344.5,1
6073,711.5,299.5,1
6073,652.5,298.5,1
6105,676.5,344.5,1
6105,565.5,299.5,1
6105,624.5,298.5,1
6105,600.5,344.5,1
6105,711.5,299.5,1
6105,652.5,298.5,1
6151,676.5,344.5,1
6151,565.5,299.5,1
6151,624.5,298.5,1
6151,600.5,344.5,1
6151,711.5,299.5,1
6151,652.5,298.5,1
6192,676.5,344.5,1
6192,565.5,299.5,1
6192,624.5,298.5,1
6192,600.5,344.5,1
6192,711.5,299.5,1
6192,652.5,298.5,1
6225,676.5,344.5,1
6225,565.5,299.5,1
6225,624.5,298.5,1
6225,600.5,344.5,1
6225,711.5,299.5,1
6225,652.5,298.5,1
6266,676.5,344.5,1
6266,565.5,299.5,1
6266,624.5,298.5,1
6266,600.5,344.5,1
6266,711.5,299.5,1
6266,652.5,298.5,1
6312,676.5,344.5,1
6312,565.5,299.5,1
6312,624.5,298.5,1
6312,600.5,344.5,1
6312,711.5,299.5,1
6312,652.5,298.5,1
6360,676.5,344.5,1
6360,565.5,299.5,1
6360,624.5,298.5,1
6360,600.5,344.5,1
6360,711.5,299.5,1
6360,652.5,298.5,1
6406,676.5,344.5,1
6406,565.5,299.5,1
6406,624.5,298.5,1
6406,600.5,344.5,1
6406,711.5,299.5,1
6406,652.5,298.5,1
6451,676.5,344.5,1
6451,565.5,299.5,1
6451,624.5,298.5,1
