id,x,y,valid
3734,676.5,344.5,1
3734,565.5,299.5,1
3734,624.5,298.5,1
3734,600.5,344.5,1
3734,711.5,299.5,1
3734,652.5,298.5,1
3878,676.5,344.5,1
3878,565.5,299.5,1
3878,624.5,298.5,1
3878,600.5,344.5,1
3878,711.5,299.5,1
3878,652.5,298.5,1
3931,676.5,344.5,1
3931,565.5,299.5,1
3931,624.5,298.5,1
3931,600.5,344.5,1
3931,711.5,299.5,1
3931,652.5,298.5,1
3968,676.5,344.5,1
3968,565.5,299.5,1
3968,624.5,298.5,1
3968,600.5,344.5,1
3968,711.5,299.5,1
3968,652.5,298.5,1
4027,676.5,344.5,1
4027,565.5,299.5,1
4027,624.5,298.5,1
4027,600.5,344.5,1
4027,711.5,299.5,1
4027,652.5,298.5,1
4077,676.5,344.5,1
4077,565.5,299.5,1
4077,624.5,298.5,1
4077,600.5,344.5,1
4077,711.5,299.5,1
4077,652.5,298.5,1
4127,676.5,344.5,1
4127,565.5,299.5,1
4127,624.5,298.5,1
4127,600.5,344.5,1
4127,711.5,299.5,1
4127,652.5,298.5,1
4182,676.5,344.5,1
4182,565.5,299.5,1
4182,624.5,298.5,1
4182,600.5,344.5,1
4182,711.5,299.5,1
4182,652.5,298.5,1
4233,676.5,344.5,1
4233,565.5,299.5,1
4233,624.5,298.5,1
4233,600.5,344.5,1
4233,711.5,299.5,1
4233,652.5,298.5,1
4279,676.5,344.5,1
4279,565.5,299.5,1
4279,624.5,298.5,1
4279,600.5,344.5,1
4279,711.5,299.5,1
4279,652.5,298.5,1
4311,676.5,344.5,1
4311,565.5,299.5,1
4311,624.5,298.5,1
4311,600.5,344.5,1
4311,711.5,299.5,1
4311,652.5,298.5,1
4352,676.5,344.5,1
4352,565.5,299.5,1
4352,624.5,298.5,1
4352,600.5,344.5,1
4352,711.5,299.5,1
4352,652.5,298.5,1
4399,676.5,344.5,1
4399,565.5,299.5,1
4399,624.5,298.5,1
4399,600.5,344.5,1
4399,711.5,299.5,1
4399,652.5,298.5,1
4445,676.5,344.5,1
4445,565.5,299.5,1
4445,624.5,298.5,1
4445,600.5,344.5,1
4445,711.5,299.5,1
4445,652.5,298.5,1
4487,676.5,344.5,1
4487,565.5,299.5,1
4487,624.5,298.5,1
4487,600.5,344.5,1
4487,711.5,299.5,1
4487,652.5,298.5,1
4530,676.5,344.5,1
4530,565.5,299.5,1
4530,624.5,298.5,1
4530,600.5,344.5,1
4530,711.5,299.5,1
4530,652.5,298.5,1
4560,676.5,344.5,1
4560,565.5,299.5,1
4560,624.5,298.5,1
4560,600.5,344.5,1
4560,711.5,299.5,1
4560,652.5,298.5,1
4606,676.5,344.5,1
4606,565.5,299.5,1
4606,624.5,298.5,1
4606,600.5,344.5,1
4606,711.5,299.5,1
4606,652.5,298.5,1
4650,676.5,344.5,1
4650,600.5,344.5,1
4650,652.5,298.5,1
4650,624.5,298.5,1
4650,565,299.5,1
4650,711,299.5,1
4692,676.5,344.5,1
4692,563.5,298.5,1
4692,709.5,298.5,1
4692,600.5,344.5,1
4692,652.5,299,1
4692,625.5,299,1
4735,625.5,299.5,1
4735,652.5,299.5,1
4735,676,344.5,1
4735,601.5,345,1
4735,708,298,1
4735,563,298,1
4779,562.5,297.5,1
4779,625.5,299.5,1
4779,706.5,297.5,1
4779,653,299.5,1
4779,601.5,345,1
4779,675,344,1
4821,625.5,299.5,1
4821,562.5,296.5,1
4821,674.5,344,1
4821,653,299.5,1
4821,705.5,297,1
4821,601,345,1
4868,626.5,299.5,1
4868,600.5,344.5,1
4868,673,343.5,1
4868,653,299.5,1
4868,562,296,1
4868,704,296,1
4912,562,294.5,1
4912,600.5,344,1
4912,670,343,1
4912,653,300,1
4912,627,300,1
4912,700,295,1
4955,562,294.5,1
4955,600.5,344,1
4955,670,343,1
4955,653,300,1
4955,627,300,1
4955,700,295,1
4997,562,294.5,1
4997,600.5,344,1
4997,670,343,1
4997,653,300,1
4997,627,300,1
4997,700,295,1
5043,562,294.5,1
5043,600.5,344,1
5043,670,343,1
5043,653,300,1
5043,627,300,1
5043,700,295,1
5074,562,294.5,1
5074,600.5,344,1
5074,670,343,1
5074,653,300,1
5074,627,300,1
