id,x,y,valid
3758,676.5,344.5,1
3758,565.5,299.5,1
3758,624.5,298.5,1
3758,600.5,344.5,1
3758,711.5,299.5,1
3758,652.5,298.5,1
3891,676.5,344.5,1
3891,565.5,299.5,1
3891,624.5,298.5,1
3891,600.5,344.5,1
3891,711.5,299.5,1
3891,652.5,298.5,1
3931,676.5,344.5,1
3931,565.5,299.5,1
3931,624.5,298.5,1
3931,600.5,344.5,1
3931,711.5,299.5,1
3931,652.5,298.5,1
3973,676.5,344.5,1
3973,565.5,299.5,1
3973,624.5,298.5,1
3973,600.5,344.5,1
3973,711.5,299.5,1
3973,652.5,298.5,1
4022,676.5,344.5,1
4022,565.5,299.5,1
4022,624.5,298.5,1
4022,600.5,344.5,1
4022,711.5,299.5,1
4022,652.5,298.5,1
4064,676.5,344.5,1
4064,565.5,299.5,1
4064,624.5,298.5,1
4064,600.5,344.5,1
4064,711.5,299.5,1
4064,652.5,298.5,1
4106,676.5,344.5,1
4106,565.5,299.5,1
4106,624.5,298.5,1
4106,600.5,344.5,1
4106,711.5,299.5,1
4106,652.5,298.5,1
4148,676.5,344.5,1
4148,565.5,299.5,1
4148,624.5,298.5,1
4148,600.5,344.5,1
4148,711.5,299.5,1
4148,652.5,298.5,1
4189,676.5,344.5,1
4189,565.5,299.5,1
4189,624.5,298.5,1
4189,600.5,344.5,1
4189,711.5,299.5,1
4189,652.5,298.5,1
4234,676.5,344.5,1
4234,565.5,299.5,1
4234,624.5,298.5,1
4234,600.5,344.5,1
4234,711.5,299.5,1
4234,652.5,298.5,1
4280,676.5,344.5,1
4280,565.5,299.5,1
4280,624.5,298.5,1
4280,600.5,344.5,1
4280,711.5,299.5,1
4280,652.5,298.5,1
4324,676.5,344.5,1
4324,565.5,299.5,1
4324,624.5,298.5,1
4324,600.5,344.5,1
4324,711.5,299.5,1
4324,652.5,298.5,1
4361,676.5,344.5,1
4361,565.5,299.5,1
4361,624.5,298.5,1
4361,600.5,344.5,1
4361,711.5,299.5,1
4361,652.5,298.5,1
4401,676.5,344.5,1
4401,565.5,299.5,1
4401,624.5,298.5,1
4401,600.5,344.5,1
4401,711.5,299.5,1
4401,652.5,298.5,1
4442,676.5,344.5,1
4442,565.5,299.5,1
4442,624.5,298.5,1
4442,600.5,344.5,1
4442,711.5,299.5,1
4442,652.5,298.5,1
4477,676.5,344.5,1
4477,565.5,299.5,1
4477,624.5,298.5,1
4477,600.5,344.5,1
4477,711.5,299.5,1
4477,652.5,298.5,1
4507,676.5,344.5,1
4507,565.5,299.5,1
4507,624.5,298.5,1
4507,600.5,344.5,1
4507,711.5,299.5,1
4507,652.5,298.5,1
4542,676.5,344.5,1
4542,565.5,299.5,1
4542,624.5,298.5,1
4542,600.5,344.5,1
4542,711.5,299.5,1
4542,652.5,298.5,1
4586,676.5,344.5,1
4586,565.5,299.5,1
4586,624.5,298.5,1
4586,600.5,344.5,1
4586,711.5,299.5,1
4586,652.5,298.5,1
4631,676.5,344.5,1
4631,565.5,299.5,1
4631,624.5,298.5,1
4631,600.5,344.5,1
4631,711.5,299.5,1
4631,652.5,298.5,1
4675,676.5,344.5,1
4675,565.5,299.5,1
4675,624.5,298.5,1
4675,600.5,344.5,1
4675,711.5,299.5,1
4675,652.5,298.5,1
4717,676.5,344.5,1
4717,565.5,299.5,1
4717,624.5,298.5,1
4717,600.5,344.5,1
4717,711.5,299.5,1
4717,652.5,298.5,1
4762,711.5,299.5,1
4762,624.5,298.5,1
4762,676.5,344.5,1
4762,600.5,344.5,1
4762,652.5,298.5,1
4762,565.5,299.5,1
4802,652.5,298.5,1
4802,600.5,344.5,1
4802,624.5,298.5,1
4802,710.5,300.5,1
4802,564.5,300.5,1
4802,676.5,344,1
4842,677.5,342.5,1
4842,652.5,297.5,1
4842,710.5,302.5,1
4842,564.5,302.5,1
4842,600.5,343.5,1
4842,624.5,297.5,1
4881,652.5,297.5,1
4881,600.5,342.5,1
4881,677.5,341.5,1
4881,710,303.5,1
4881,564.5,303.5,1
4881,625,297.5,1
4926,652.5,297.5,1
4926,600.5,342.5,1
4926,677.5,341.5,1
4926,710,303.5,1
4926,564.5,303.5,1
4926,625,297.5,1
4966,652.5,297.5,1
4966,600.5,342.5,1
4966,677.5,341.5,1
4966,710,303.5,1
4966,564.5,303.5,1
4966,625,297.5,1
5006,652.5,297.5,1
5006,600.5,342.5,1
5006,677.5,341.5,1
5006,710,303.5,1
5006,564.5,303.5,1
5006,625,297.5,1
5044,652.5,297.5,1
5044,600.5,342.5,1
5044,677.5,341.5,1
5044,710,303.5,1
5044,564.5,303.5,1
5044,625,297.5,1
5089,652.5,297.5,1
5089,600.5,342.5,1
5089,677.5,341.5,1
5089,710,303.5,1
5089,564.5,303.5,1
5089,625,297.5,1
5133,652.5,297.5,1
5133,600.5,342.5,1
5133,677.5,341.5,1
5133,710,303.5,1
5133,564.5,303.5,1
5133,625,297.5,1
5173,652.5,297.5,1
5173,600.5,342.5,1
5173,677.5,341.5,1
5173,710,303.5,1
5173,564.5,303.5,1
5173,625,297.5,1
5214,652.5,297.5,1
5214,600.5,342.5,1
5214,677.5,341.5,1
5214,710,303.5,1
5214,564.5,303.5,1
5214,625,297.5,1
5260,652.5,297.5,1
5260,600.5,342.5,1
5260,677.5,341.5,1
5260,710,303.5,1
5260,564.5,303.5,1
5260,625,297.5,1
5302,652.5,297.5,1
5302,600.5,342.5,1
5302,677.5,341.5,1
5302,710,303.5,1
5302,564.5,303.5,1
5302,625,297.5,1
5344,652.5,297.5,1
5344,600.5,342.5,1
5344,677.5,341.5,1
5344,710,303.5,1
5344,564.5,303.5,1
5344,625,297.5,1
5389,600.5,344.5,1
5389,676.5,344.5,1
5389,563.5,299.5,1
5389,652.5,298.5,1
5389,625.5,298.5,1
5389,709,301,1
5437,600.5,344.5,1
5437,625.5,298.5,1
5437,652.5,299.5,1
5437,708.5,299.5,1
5437,563.5,297.5,1
5437,675.5,345,1
5477,625.5,298.5,1
5477,652.5,299.5,1
5477,600.5,344.5,1
5477,563.5,296.5,1
5477,708,299.5,1
5477,675,345,1
5513,652.5,299.5,1
5513,600.5,344.5,1
5513,674.5,345,1
5513,625.5,299,1
5513,563,296,1
5513,708,299,1
5559,652.5,299.5,1
5559,674.5,345,1
5559,625.5,299,1
5559,600,344,1
5559,563,296,1
5559,708,299,1
5602,652.5,299.5,1
5602,674.5,345,1
5602,625.5,299,1
5602,600,344,1
5602,563,296,1
5602,708,299,1
5645,652.5,299.5,1
5645,674.5,345,1
5645,625.5,299,1
5645,600,344,1
5645,563,296,1
5645,708,299,1
5687,652.5,299.5,1
5687,674.5,345,1
5687,625.5,299,1
5687,600,344,1
5687,563,296,1
5687,708,299,1
5725,652.5,299.5,1
5725,674.5,345,1
5725,625.5,299,1
5725,600,344,1
5725,563,296,1
5725,708,299,1
5768,652.5,299.5,1
5768,674.5,345,1
5768,625.5,299,1
5768,600,344,1
5768,563,296,1
5768,708,299,1
5803,652.5,299.5,1
5803,674.5,345,1
5803,625.5,299,1
5803,600,344,1
5803,563,296,1
5803,708,299,1
5846,652.5,299.5,1
5846,674.5,345,1
5846,625.5,299,1
5846,600,344,1
5846,563,296,1
5846,708,299,1
5884,652.5,299.5,1
5884,674.5,345,1
5884,625.5,299,1
5884,600,344,1
5884,563,296,1
5884,708,299,1
5924,652.5,299.5,1
5924,674.5,345,1
5924,625.5,299,1
5924,600,344,1
5924,563,296,1
5924,708,299,1
5965,652.5,299.5,1
5965,674.5,345,1
5965,625.5,299,1
5965,600,344,1
5965,563,296,1
5965,708,299,1
6003,652.5,299.5,1
6003,674.5,345,1
6003,625.5,299,1
6003,600,344,1
6003,563,296,1
6003,708,299,1
6049,652.5,299.5,1
6049,674.5,345,1
6049,625.5,299,1
6049,600,344,1
6049,563,296,1
6049,708,299,1
6091,652.5,299.5,1
6091,674.5,345,1
6091,625.5,299,1
6091,600,344,1
6091,563,296,1
6091,708,299,1
6133,652.5,299.5,1
6133,674.5,345,1
6133,625.5,299,1
6133,600,344,1
6133,563,296,1
6133,708,299,1
6176,652.5,299.5,1
6176,674.5,345,1
6176,625.5,299,1
6176,600,344,1
6176,563,296,1
6176,708,299,1
6218,652.5,299.5,1
6218,674.5,345,1
6218,625.5,299,1
6218,600,344,1
6218,563,296,1
6218,708,299,1
6260,652.5,299.5,1
6260,674.5,345,1
6260,625.5,299,1
6260,600,344,1
6260,563,296,1
6260,708,299,1
6302,652.5,299.5,1
6302,674.5,345,1
6302,625.5,299,1
6302,600,344,1
6302,563,296,1
6302,708,299,1
6340,652.5,299.5,1
6340,674.5,345,1
6340,625.5,299,1
6340,600,344,1
6340,563,296,1
6340,708,299,1
6383,652.5,299.5,1
6383,674.5,345,1
6383,625.5,299,1
6383,600,344,1
6383,563,296,1
6383,708,299,1
6428,652.5,299.5,1
6428,674.5,345,1
6428,625.5,299,1
6428,600,344,1
6428,563,296,1
6428,708,299,1
6464,652.5,299.5,1
6464,674.5,345,1
6464,625.5,299,1
6464,600,344,1
6464,563,296,1
6464,708,299,1
6506,652.5,299.5,1
6506,674.5,345,1
6506,625.5,299,1
6506,600,344,1
6506,563,296,1
6506,708,299,1
6547,652.5,299.5,1
6547,674.5,345,1
6547,625.5,299,1
6547,600,344,1
6547,563,296,1
6547,708,299,1
6587,652.5,299.5,1
6587,674.5,345,1
6587,625.5,299,1
6587,600,344,1
6587,563,296,1
6587,708,299,1
6641,652.5,299.5,1
6641,674.5,345,1
6641,625.5,299,1
6641,600,344,1
6641,563,296,1
6641,708,299,1
6689,652.5,299.5,1
6689,674.5,345,1
6689,625.5,299,1
6689,600,344,1
6689,563,296,1
6689,708,299,1
6729,652.5,299.5,1
6729,674.5,345,1
6729,625.5,299,1
6729,600,344,1
6729,563,296,1
6729,708,299,1
6766,652.5,299.5,1
6766,674.5,345,1
6766,625.5,299,1
6766,600,344,1
6766,563,296,1
6766,708,299,1
6807,652.5,299.5,1
6807,674.5,345,1
6807,625.5,299,1
6807,600,344,1
6807,563,296,1
6807,708,299,1
6849,652.5,299.5,1
6849,674.5,345,1
6849,625.5,299,1
6849,600,344,1
6849,563,296,1
6849,708,299,1
6892,652.5,299.5,1
6892,674.5,345,1
6892,625.5,299,1
6892,600,344,1
6892,563,296,1
6892,708,299,1
6933,652.5,299.5,1
6933,674.5,345,1
6933,625.5,299,1
6933,600,344,1
6933,563,296,1
6933,708,299,1
6976,652.5,299.5,1
6976,674.5,345,1
6976,625.5,299,1
6976,600,344,1
6976,563,296,1
6976,708,299,1
7018,652.5,299.5,1
7018,674.5,345,1
7018,625.5,299,1
7018,600,344,1
7018,563,296,1
7018,708,299,1
7064,652.5,299.5,1
7064,674.5,345,1
7064,625.5,299,1
7064,600,344,1
7064,563,296,1
7064,708,299,1
7107,652.5,299.5,1
7107,674.5,345,1
7107,625.5,299,1
7107,600,344,1
7107,563,296,1
7107,708,299,1
7151,652.5,299.5,1
7151,674.5,345,1
7151,625.5,299,1
7151,600,344,1
7151,563,296,1
7151,708,299,1
7197,652.5,299.5,1
7197,674.5,345,1
7197,625.5,299,1
7197,600,344,1
7197,563,296,1
7197,708,299,1
7238,652.5,299.5,1
7238,674.5,345,1
7238,625.5,299,1
7238,563.5,296,1
